,level_0,index,song,artist
453,3735,9498,remote control pt 2,kanye west
454,1628,4335,levels,avicii
455,1449,2318,nothing new,taylor swift
456,3045,728,no brainer,dj khaled
457,1306,6070,flooded,gunna
458,1089,5120,love sick,trippie redd
459,3626,5452,ecstasy,young thug
460,2653,10848,our love,nico & vinz
461,3197,7642,nightlight,illenium
462,2955,5275,don't need friends,nav
463,1942,1152,christmas time is here  vocal,vince guaraldi trio
464,1720,6763,flex up,lil yachty
465,1176,11078,i love it,icona pop
466,4943,10583,wrote my way out,nas
467,3739,972,alien blues,vundabar
468,314,2439,can't have everything,drake
469,3126,10924,fire n gold,bea miller
470,1410,10135,arcoíris,j balvin
471,64,10914,molecules  single version,atlas genius
472,2676,9109,ignant shit,drake
473,3492,10382,heavy heart,meek mill
474,453,5097,i love it when you cry (moxoki),steve aoki
475,1204,8908,z look jamaican,kodak black
476,3406,4949,u,kendrick lamar
477,3712,8573,no deal,rod wave
478,3258,5171,intro,21 savage
479,338,8427,the news,paramore
480,4679,3373,rover 2.0,blocboy jb
481,3370,1969,‘tis the damn season,taylor swift
482,4348,10029,the dying song (time to sing),slipknot
483,4026,4353,pretty mami,lil uzi vert
484,3882,6674,bad romance,lady gaga
485,3195,4896,how u feel,huncho jack
486,4006,5831,arya,nigo
487,407,8146,detention,melanie martinez
488,1468,8858,rosa,j balvin
489,4313,851,marry me,thomas rhett
490,3269,4517,breathe,taylor swift
491,927,10170,house arrest tingz,youngboy never broke again
492,352,8527,dreamer,trippie redd
493,4303,3248,bitches broken hearts,billie eilish
494,3502,7286,the matrix,ski mask the slump god
495,3345,6937,slow down summer,thomas rhett
496,1080,8094,gatalo to,jaudy
497,4515,6455,eazy  don't let me go,g
498,2207,9001,where are you christmas,faith hill
499,3776,5425,wellerman,the longest johns
500,4919,7994,first class,blueface
501,3928,8800,la trokita,eslabon armado
502,2044,2713,santa baby,kylie minogue
503,4964,843,"baby, it's cold outside",dean martin
504,3040,5119,keii,anuel aa
505,3007,1879,billy,6ix9ine
506,155,393,feliz navidad,josé feliciano
507,2313,6173,i am the greatest,logic
508,2877,5588,faith,nav
509,2533,9588,loophole,brockhampton
510,3375,3826,halley's comet,billie eilish
511,1083,2574,tie me down,gryffin
512,2964,120,swervin,a boogie wit da hoodie
513,739,8984,young americans (2007 remastered),david bowie
514,2834,1949,cake  challenge version,flo rida
515,4991,6593,instinct,roy woods
516,4472,10310,high (& dua lipa),whethan
517,2390,5764,reasons,luke combs
518,3473,5733,look what i found,lady gaga
519,2243,9895,caught in the fire,bazzi
520,4150,9854,karate,wiz khalifa
521,2646,7062,glow up,nav
522,201,10129,conversations in the dark,john legend
523,2483,688,beautiful mistakes,maroon 5
524,3482,773,my way,fetty wap
525,2988,8932,put a little love on me,niall horan
526,1285,1291,spicy,ty dolla $ign
527,58,78,wants and needs,drake
528,1541,253,pick it up,famous dex
529,3494,2509,gravity,brent faiyaz
530,3655,4247,lovin’ me,kid cudi
531,3599,9799,leaked,lil tjay
532,2335,5244,carbonated water,ski mask the slump god
533,762,401,taki taki,dj snake
534,3311,4347,grandpa's space ship,logic
535,1507,3794,the lucky one (taylor's version),taylor swift
536,3941,5351,stay,bts
537,4889,2010,rockin’,the weeknd
538,1171,933,in the night,the weeknd
539,1987,9684,coast,hailee steinfeld
540,2059,6278,rider,juice wrld
541,4368,10492,outro: her,bts
